seqnames,start,end,width,strand,name,Score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,155001932,155002432,501,*,BRCA_11455,150.0983237,Promoter (<=1kb),1,155002630,155018522,15893,1,51043,ENST00000417934.6,-198,ENSG00000160685,ZBTB7B,zinc finger and BTB domain containing 7B
chr1,155085192,155085692,501,*,BRCA_11538,113.4853387,Promoter (<=1kb),1,155085516,155086982,1467,1,125467750,ENST00000470294.5,0,ENSG00000251246,EFNA4-EFNA3,EFNA4-EFNA3 readthrough
chr1,206202920,206203420,501,*,BRCA_17102,89.88915868,Promoter (<=1kb),1,206203346,206205829,2484,1,23380,ENST00000603708.1,0,ENSG00000266028,SRGAP2,SLIT-ROBO Rho GTPase activating protein 2
chr1,155050946,155051446,501,*,BRCA_11506,87.65473668,Promoter (<=1kb),1,155050946,155062775,11830,1,8751,ENST00000527418.5,0,ENSG00000143537,ADAM15,ADAM metallopeptidase domain 15
chr1,205749207,205749707,501,*,BRCA_17021,77.90100871,Promoter (<=1kb),1,205712822,205750182,37361,2,64710,ENST00000367142.5,475,ENSG00000069275,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1
chr1,155227354,155227854,501,*,BRCA_11626,73.57222419,Promoter (<=1kb),1,155213825,155227422,13598,2,2630,ENST00000368374.5,0,ENSG00000291137,GBA1LP,"glucosylceramidase beta 1 like, pseudogene"
chr1,172532728,172533228,501,*,BRCA_13868,70.77765942,Promoter (<=1kb),1,172533118,172611831,78714,1,51430,ENST00000616058.4,0,ENSG00000094975,SUCO,SUN domain containing ossification factor
chr1,203007090,203007590,501,*,BRCA_16316,69.94447049,Promoter (<=1kb),1,203007374,203024848,17475,1,92703,ENST00000367242.4,0,ENSG00000163444,TMEM183A,transmembrane protein 183A
chr1,150629004,150629504,501,*,BRCA_10634,68.23275262,Promoter (<=1kb),1,150624622,150629116,4495,2,2029,ENST00000513281.5,0,ENSG00000143420,ENSA,endosulfine alpha
chr1,156500687,156501187,501,*,BRCA_11979,67.51223574,Promoter (<=1kb),1,156467628,156500753,33126,2,4209,ENST00000475587.2,0,ENSG00000116604,MEF2D,myocyte enhancer factor 2D
chr1,151281885,151282385,501,*,BRCA_10780,66.83376454,Promoter (<=1kb),1,151280024,151281929,1906,2,100507670,ENST00000447795.3,0,ENSG00000232671,ZNF687-AS1,ZNF687 antisense RNA 1
