id,gene,chrom,chromStart,chromEnd,strand,gene_length
ENSG00000173406.14,DAB1,chr1,56994778,58546734,-,1551957
ENSG00000186094.15,AGBL4,chr1,48532855,50023913,-,1491059
ENSG00000171735.17,CAMTA1,chr1,6785324,7769706,+,984383
ENSG00000172260.12,NEGR1,chr1,71395940,72282734,-,886795
ENSG00000188641.11,DPYD,chr1,97077743,97921049,-,843307
ENSG00000152061.20,RABGAP1L,chr1,174159410,174995308,+,835899
ENSG00000042781.11,USH2A,chr1,215622894,216423396,-,800503
ENSG00000198626.14,RYR2,chr1,237042205,237833988,+,791784
ENSG00000185420.17,SMYD3,chr1,245749342,246507312,-,757971
ENSG00000117114.18,LPHN2,chr1,81306160,81992436,+,686277
ENSG00000121904.16,CSMD2,chr1,33513999,34165842,-,651844
ENSG00000196482.15,ESRRG,chr1,216503246,217137755,-,634510
ENSG00000162599.14,NFIA,chr1,60865259,61462793,+,597535
ENSG00000033122.17,LRRC7,chr1,69568398,70151945,+,583548
ENSG00000184588.16,PDE4B,chr1,65792514,66374579,+,582066
ENSG00000182901.14,RGS7,chr1,240775514,241357230,-,581717
ENSG00000197959.12,DNM3,chr1,171841498,172418466,+,576969
ENSG00000184005.10,ST6GALNAC3,chr1,76074719,76634601,+,559883
ENSG00000162849.14,KIF26B,chr1,245154985,245709431,+,554447
ENSG00000127124.12,HIVEP3,chr1,41506365,42035925,-,529561
ENSG00000133019.10,CHRM3,chr1,239386565,239915452,+,528888
ENSG00000185104.18,FAF1,chr1,50437028,50960263,-,523236
ENSG00000189337.14,KAZN,chr1,14598704,15118043,+,519340
ENSG00000185842.13,DNAH14,chr1,224896262,225399292,+,503031
ENSG00000172456.15,FGGY,chr1,59296638,59767675,+,471038
ENSG00000142599.16,RERE,chr1,8352397,8817643,-,465247
ENSG00000155816.18,FMN2,chr1,240014348,240475189,+,460842
ENSG00000143341.10,HMCN1,chr1,185734551,186190949,+,456399
ENSG00000143473.10,KCNH1,chr1,210678315,211134115,-,455801
ENSG00000180287.15,PLD5,chr1,242082986,242524696,-,441711
ENSG00000116147.15,TNR,chr1,175315194,175743770,-,428577
ENSG00000171502.13,COL24A1,chr1,85729233,86156943,-,427711
ENSG00000132849.17,INADL,chr1,61742477,62163920,+,421444
ENSG00000183780.11,SLC35F3,chr1,233904933,234324516,+,419584
ENSG00000162946.19,DISC1,chr1,231626815,232041272,+,414458
ENSG00000137968.15,SLC44A5,chr1,75202131,75611116,-,408986
ENSG00000185483.10,ROR1,chr1,63774022,64181498,+,407477
